年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2007/10/29,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/10/30,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/10/31,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/1,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/2,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/5,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/6,,,,,,,,,,3.0,0.0,0.0,3.0,,,,,,,,,
2007/11/7,,,,,,,,,,6.0,0.0,0.0,6.0,,,,,,,,,
2007/11/8,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/9,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/12,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/13,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/14,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/15,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/16,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/19,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/20,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/21,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/22,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/23,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/26,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/27,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/28,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/29,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/11/30,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/3,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/4,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/5,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/6,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/7,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/10,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/11,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/12,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
2007/12/13,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,
